nt,KE,EE,TE,Total
0,0.545768,2.22184e-31,0,0.545768
3,0.545768,2.36607e-30,0,0.545768
6,0.545768,4.4432e-30,0,0.545768
9,0.545761,3.5745e-19,0,0.545761
12,0.545751,-8.93524e-17,0,0.545751
15,0.545442,-4.75373e-14,0,0.545442
18,0.549126,-1.64655e-11,0,0.549126
21,0.554843,-1.05471e-08,0,0.554843
24,53.7936,-2.12279e-05,5.40606e-05,53.7937
27,893.054,-0.000554737,0.00149823,893.055
30,874.301,-0.00178772,0.00542118,874.304
33,877.336,-0.0035087,0.0109673,877.343
36,875.293,-0.00552129,0.0180879,875.306
39,879.402,-0.00906684,0.0333269,879.426
42,1328.76,-0.025587,0.117267,1328.85
45,5353.29,-0.0777214,0.468051,5353.68
48,29589.8,-0.191798,1.41275,29591
