nt,TractNP_min,TractNP_max,TractNC1_min,TractNC1_max
0,0,0,0,0
3,0,0,0,0
6,0,0,-0.000541029,0.000199013
9,-97.461,23.9648,-88.1873,10.4352
12,-224.012,400.785,-164.4,127.058
15,-5687.68,7268.83,-4515.82,343.117
18,-87492,144687,-74606.2,87334.5
21,-5.00731e+06,3.23108e+06,-3.28086e+06,1.73305e+06
24,-1.02524e+08,6.22417e+07,-6.86143e+07,5.27624e+07
27,-2.62799e+08,1.26982e+08,-8.26031e+07,8.51271e+07
30,-4.31488e+08,2.85915e+08,-8.60117e+07,6.35284e+07
33,-4.50487e+08,3.25064e+08,-9.06531e+07,1.17975e+08
36,-4.23642e+08,3.804e+08,-1.09583e+08,2.22076e+08
39,-4.81921e+08,4.58152e+08,-1.45176e+08,1.53021e+08
42,-1.60057e+09,5.22784e+08,-3.09398e+08,5.91082e+08
45,-5.65866e+09,1.41511e+09,-8.70847e+08,1.60898e+09
48,-1.51909e+10,3.40459e+09,-2.02266e+09,3.86719e+09
51,-3.52516e+10,7.50504e+09,-4.23224e+09,8.54331e+09
