nt,plate_maxVM,particle_maxVM
0,0,2.54114e-05
3,0,0.00013316
6,0,0.000689889
9,115.984,85.7753
12,1290.9,414.411
15,28089.3,7239.98
18,558938,133713
21,1.11343e+07,5.68839e+06
24,1.30033e+08,1.16332e+08
27,1.54193e+08,1.9988e+08
30,1.74901e+08,2.41019e+08
33,1.89405e+08,2.70581e+08
36,2.01032e+08,3.09528e+08
39,2.1135e+08,3.50274e+08
42,2.28949e+08,4.02138e+08
45,2.55717e+08,4.63399e+08
48,2.55706e+08,5.25248e+08
51,2.55715e+08,5.54772e+08
